idContract,branch,client,workerName,idWorker,startDate,endDate,endDateActual,weeklyHours,internalSales,hourlyCost,hourlyPrice,SnapshotDate
"1","Nord3","Client36","Anna Ricci","433","2020-07-15","2021-03-05","2020-10-18","15","SalesLuca","22","31","2023-01-01"
"2","Nord1","Client61","Francesca Colombo","318","2021-10-16","2022-07-05","2022-07-05","26","SalesAnna","16","23","2023-01-01"
"3","Sud2","Client30","Elena Romano","261","2020-09-14","2021-01-26","2021-01-26","15","SalesMarco","28","26","2023-01-01"
"4","Sud3","Client33","Elena Bianchi","216","2022-02-10","2022-11-20","2022-10-19","15","SalesElena","26","33","2023-01-01"
"5","Sud3","Client8","Davide Russo","458","2022-05-29","2023-05-16","2023-05-16","2","SalesElena","15","18","2023-01-01"
"6","Sud1","Client98","Francesca Ricci","434","2020-12-25","2021-10-01","2021-10-01","2","SalesElena","23","27","2023-01-01"
"7","Nord2","Client1","Giulia Verdi","276","2021-10-29","2022-08-22","2022-02-16","15","SalesMarco","19","20","2023-01-01"
"8","Sud1","Client27","Elena Rossi","287","2020-06-09","2020-10-19","2020-09-21","1","SalesLuigi","17","21","2023-01-01"
"9","Sud2","Client46","Francesca Colombo","152","2022-01-04","2022-10-24","2022-10-24","26","SalesGiulia","20","29","2023-01-01"
"10","Nord3","Client18","Elena Ferrari","411","2020-07-29","2021-01-17","2021-01-17","2","SalesMario","24","22","2023-01-01"
"11","Sud1","Client22","Elena Bianchi","279","2020-11-15","","","2","SalesLuigi","23","25","2023-01-01"
"12","Nord2","Client92","Francesca Verdi","241","2022-12-14","","","10","SalesGiulia","26","27","2023-01-01"
"13","Sud2","Client27","Davide Ferrari","166","2020-04-05","2020-10-03","2020-10-03","40","SalesGiulia","27","31","2023-01-01"
"14","Sud3","Client77","Davide Ricci","349","2022-04-29","2022-10-03","2022-10-03","1","SalesElena","28","36","2023-01-01"
"15","Sud3","Client66","Francesca Romano","388","2021-04-16","2022-01-03","2022-01-03","1","SalesMario","25","33","2023-01-01"
"16","Sud2","Client94","Giulia Colombo","370","2022-01-28","","","2","SalesGiulia","20","29","2023-01-01"
"17","Nord2","Client84","Luca Bianchi","353","2020-01-08","2020-09-05","2020-09-05","34","SalesMarco","15","17","2023-01-01"
"18","Nord3","Client29","Anna Ferrari","390","2020-07-21","2020-11-25","2020-11-25","2","SalesMario","24","25","2023-01-01"
"19","Sud3","Client54","Matteo Bianchi","451","2022-11-05","2022-12-09","2022-12-09","26","SalesElena","22","25","2023-01-01"
"20","Sud3","Client38","Matteo Ricci","158","2021-07-28","2022-07-22","2021-12-14","34","SalesMario","16","24","2023-01-01"
"21","Nord3","Client59","Luca Esposito","223","2022-08-24","2023-06-12","2022-09-29","34","SalesLuca","28","37","2023-01-01"
"22","Sud1","Client3","Paolo Ferrari","445","2021-10-29","2022-09-18","2022-09-18","1","SalesLuigi","21","20","2023-01-01"
"23","Sud2","Client73","Davide Colombo","112","2020-12-08","2021-06-07","2021-01-16","10","SalesMarco","18","20","2023-01-01"
"24","Sud1","Client69","Luca Russo","470","2020-11-17","2021-10-31","2021-10-31","10","SalesElena","21","30","2023-01-01"
"25","Sud3","Client93","Elena Colombo","112","2022-09-24","2023-04-06","2023-04-06","34","SalesMario","20","22","2023-01-01"
"26","Nord2","Client7","Anna Colombo","451","2021-06-20","2022-02-03","2022-02-03","26","SalesGiulia","28","29","2023-01-01"
"27","Sud3","Client88","Francesca Rossi","226","2022-07-05","","","15","SalesMario","25","34","2023-01-01"
"28","Sud2","Client94","Elena Ferrari","410","2020-05-18","2020-12-07","2020-12-07","2","SalesGiulia","16","23","2023-01-01"
"29","Sud2","Client65","Sara Bianchi","434","2021-02-07","2021-10-09","2021-04-14","15","SalesMarco","26","28","2023-01-01"
"30","Nord1","Client13","Luca Ferrari","113","2021-04-03","2021-05-13","2021-05-13","26","SalesAnna","29","36","2023-01-01"
"31","Sud3","Client87","Matteo Ricci","281","2021-04-14","2022-03-14","2022-03-14","34","SalesMario","23","25","2023-01-01"
"32","Nord1","Client47","Luca Esposito","303","2021-09-30","2022-01-21","2022-01-21","2","SalesPaolo","22","31","2023-01-01"
"33","Nord1","Client55","Paolo Rossi","327","2020-07-27","2020-12-15","2020-12-15","10","SalesAnna","25","29","2023-01-01"
"34","Nord2","Client78","Anna Esposito","404","2022-03-11","","","1","SalesMarco","17","22","2023-01-01"
"35","Sud3","Client55","Elena Ricci","356","2020-07-03","","","1","SalesElena","20","23","2023-01-01"
